text,sentiment,clean_text
I just cried whilst watching hollyoaks  .. i need a life! lol,negative,cried whilst watching hollyoaks need life lol
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,hi recovering party looking forward exciting bank holiday around diy shopslife cant get much bettersurely
Terminator Salvation... by myself.,neutral,terminator salvation
" for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,fortheloss dumbface u u wknd wan na seeeeeee ya
 Why do I have to enter my registration details every time I update?,neutral,enter registration details every time update
"On the monday, so i wont be able to be with you!  i love you",positive,monday wont able love
" Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,ur cuteim fan dream little dream kiss appearances like dawsons creek make flicks
 TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,tgif righti think broke toe last night bad foot
" Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,oherr soon plans party saturday x
_LaMont yr very young looking dude,positive,lamont yr young looking dude
": hmmm, wrong link, ignore my tweet",negative,hmmm wrong link ignore tweet
AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,att cheated system green day tickets att
Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,tracy berwick breaks achy breaky heart split ways hallways
" yep, i wish they were all playing dubiln",positive,yep wish playing dubiln
 im a lady and ladies don`t move couches. they direct where the couches go,neutral,im lady ladies dont move couches direct couches go
 Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,yay block party youre bomb blockheads dave thanks supporting nkotb
 26th February,neutral,th february
Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,guess mom adopted kitty today months name corky
Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,happy birthday snickers hope best day ever lets go shopping
 Thank you!  I`m working on `s,positive,thank im working
 lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,lol man got hrs iont woulda made wit ramen noodles tv time
Not feeling all that well today,negative,feeling well today
"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,ear hurts medicine gum
_berland LMAO I know I know,neutral,berland lmao know know
Gnight shar   <(` `<)Vega(>` `)>,neutral,gnight shar vega
The underwire in my bra is sticking out and poking me in the armpit,negative,underwire bra sticking poking armpit
Happy Mothers Day!!!,positive,happy mothers day
"Yes, I am",neutral,yes
 I can`t call Mitch!  Im from sweden!,neutral,cant call mitch im sweden
Happy star wars day! May the fourth be with you,positive,happy star wars day may fourth
was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,excited eat wartermelon bought day terrible sweet
i just watched Marley & Me...i cried so hard!,negative,watched marley mei cried hard
Take antibacterial to school to clean your hands when you cant go the loos,neutral,take antibacterial school clean hands cant go loos
I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,im leaving work trying decide return sunday afternoon monday meet noon uk time deadline
 haaaw..well i get out of class at 10:50..i hope i make it,positive,haaawwell get class hope make
"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,oooh sunshine patch sunshine gone time leave work replaced rain vent
skype call with billie but my webcam dont work,neutral,skype call billie webcam dont work
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive,great study time followed delicious japanese meal arty trying get back study mood
FML not having a car is prohibiting finding a job,negative,fml car prohibiting finding job
"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",neutral,lol since got twitter little ago seems like loads people setting account
 I want to see David cook!!,positive,want see david cook
 yeh me 2,neutral,yeh
 learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,learning tat scenic way din plan go town somehow herded
" i don`t want to do anything specific, i just want to see you and puppy!",neutral,dont want anything specific want see puppy
 yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,yeah need fricken cell number ive tried home months hes busy miss braddddddddd
Toy Story 3 trailer premiered with Up. I need my computer back.,neutral,toy story trailer premiered need computer back
ughh on the phone with HP!,neutral,ughh phone hp
And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,hand made dan jenn sock blockers made exotic woods one called purple heart
 yay about breaking 200!,positive,yay breaking
 bahah sadly I am not,negative,bahah sadly
 i always have those for my Champions League parties  Tis awesome,positive,always champions league parties tis awesome
" well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,well stay away kinds surround dont happy mothers day ur mom treiz
_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,adel didnt reply yet wait till confirm case somebody might translated already
 thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,thats rough hubby knee surgery help end let us know results well keep prayers
might have to go back much earlier than expected. bye bye bay area,neutral,might go back much earlier expected bye bye bay area
"Playin City of Villains, wishin my buddies were playin with me.....",positive,playin city villains wishin buddies playin
" yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,yep three things good haircut ability listen value taking seriously
 riley hacked my twitter!  hahaha :],neutral,riley hacked twitter hahaha
Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral,big sad face bing doesnt work iphone takes regular mobile live search
 I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive,liked record soothing voice
man im so sad school is ending  but then again high school might be better :O,neutral,man im sad school ending high school might better
" Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",positive,folks thought hilarious told story saw shirt wore tonight laughter night
 you`re the absoute best,positive,youre absoute best
oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,neutral,oh god cried much watch guys bgt
My near daily exercise is starting to show results.,neutral,near daily exercise starting show results
 Welcome!,positive,welcome
Bout to hit pmark then make one of my final meals wit the housemates..,neutral,bout hit pmark make one final meals wit housemates
: you get to go home and i have to go to work,neutral,get go home go work
voted for  on CMT.com,neutral,voted cmtcom
"just got home from a nice party, just not tired yet",positive,got home nice party tired yet
Now I have a sunburn,negative,sunburn
I have the Job  this is a nice day it can not be better,positive,job nice day better
I wish I could go to #BEA this weekend.,positive,wish could go bea weekend
"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral,rupert grint boy ive accepted tht fancy im certain doesnt feel worth telling
 love your books,positive,love books
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative,ok eye doctor guy taking forever im sitting cold room myselfwhat jerk
Im Slowing on My Tweets..Cuase I Lost My Phone,negative,im slowing tweetscuase lost phone
 well thank your phone for me.,positive,well thank phone
 why would they take a photo with stuffed animals?! that`s pretty funny,positive,would take photo stuffed animals thats pretty funny
TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral,tweetdeck acting really strange hum reinstall maybe update horizon another adobe memory leak
tikcets are only Ã¯Â¿Â½91...each...BUT I SO WANT TO GO,positive,tikcets eachbut want go
 Happy Mothers Day,positive,happy mothers day
 It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,negative,gon na hot today today ryans last day prek cant believe ive sahm since
is dreaming of the weekend... awake!,neutral,dreaming weekend awake
"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",negative,oh ive returned supermarket doom find nothing drink
 yay but you missed naptime,neutral,yay missed naptime
"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",positive,dgroup saturdays little bit football hour nap hours soccer basketball tsu yogurtland lifes good
just set up a new computer again. 15min. I love Norton Ghost.,positive,set new computer min love norton ghost
Ahhh my mommie got me new sheets for my bed  so comfy,positive,ahhh mommie got new sheets bed comfy
_celeste  finally some sleep in silence,neutral,celeste finally sleep silence
im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral,im im lazy thank god bank holiday
is pretty dang tired. but chambers class is for napping.,negative,pretty dang tired chambers class napping
i have to poop...   is hogging the shitter,negative,poop hogging shitter
YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,neutral,yes im full dvr like days ago lol swear didnt dvr would never watch tv
Happy muthath`s day to all moms!!! I salute you!,positive,happy muthaths day moms salute
Hahaha! Alright  ..,positive,hahaha alright
 Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,positive,arent suppossed support local economy lol good congrats
 good to know   thanks,positive,good know thanks
 what are you? flavor of the day?,neutral,flavor day
weathers let me down this morning...ugh!...hada gd nite tho!,neutral,weathers let morningughhada gd nite tho
Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock,neutral,listened condre scr got invitation watch live concert june th munich postrock
" E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",positive,elo wow brings back many happy memories love bandand yes know im showing age dont care
 that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,positive,thats cute picture dont get fat licking bbqs must found chops someone elses
 oh i love sunday mornings like this - mum just made scrambled eggs on toast,positive,oh love sunday mornings like mum made scrambled eggs toast
"hate working when its sunny,boohoo",negative,hate working sunnyboohoo
is ONLiNE  http://plurk.com/p/stjdg,neutral,online
bundy. in 3 days.!!!! warm weather here i come!,neutral,bundy days warm weather come
Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,negative,wondering cld make things worse already answer
a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/,neutral,dutch marketing agency asking job applicants apply characters less
Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,negative,twitter spoiled fun frustratingly slow couldnt even bid properly
_chick haha. I completely agree,positive,chick haha completely agree
"If we don`t pack, she can`t leave, right?",neutral,dont pack cant leave right
 ****  lol....where u headed to?,neutral,lolwhere u headed
Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,positive,going bed great night friend glad know feelings classes someone else
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",negative,many mine included ahem shld known better back wldnt missed many opportunities haha
it`s nice to leave the office when the sun is still up,positive,nice leave office sun still
I will miss the soccer moms,negative,miss soccer moms
" between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",neutral,garlic pills spider bite toe lolclassic always hungry u killing funny
 *sighs* Ah well.  Maybe my second email will clear it up and get him approved.,neutral,sighs ah well maybe second email clear get approved
"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",neutral,missed tweets joe time difference uk dont get fave supporters uk
 --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,neutral,came mind said adapted familys vocabulary
looking forward to body works today,neutral,looking forward body works today
just watched yes man. bahaha. that movie is messed up,negative,watched yes man bahaha movie messed
 Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,negative,sadly think know exactly put itin expired drawer things life span less two years
" Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",negative,much unless one pillows ends suffocating one sleeping next
Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,neutral,meeting best friend first thing morning gym omg still shocked hope get better soon
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,negative,wow fastnext soderling ferrer gilles simon lost
 Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me,neutral,yup theory great reality beyond imagination also made planning knowing vs fail
 glad to know that the ad display problem was due to a firewall config at yr office. phew!,positive,glad know ad display problem due firewall config yr office phew
 woot!,positive,woot
"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",neutral,dont like monday wish sunday cause thats fun day freaking jam little miss
"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",neutral,waiting last movie finish test screening ghost girlfriends past glass wine lolly bag hand yay
Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,positive,happy starwarsday may th everyone paintball
Must head back to the office,neutral,must head back office
St joe is dirty.,negative,st joe dirty
http://twitpic.com/4w67k - Camping at black butte lake,neutral,camping black butte lake
" are you getting my messages or do you have to add me to recieve them, soz I`m new to this",neutral,getting messages add recieve soz im new
I hate my life,negative,hate life
sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,negative,sick stomach headache wish someone could come rub temples
 ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,negative,natalya got ta tell whats going id call lost phone numbers broke blackberry
just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,negative,thought unfair ppl n got depressed haters
crying real tears,negative,crying real tears
_Brown been holding onto this one for a while  http://twitpic.com/4w5eh,neutral,brown holding onto one
 Panchito`s burfday party tonight... wish you were here kiddo!,positive,panchitos burfday party tonight wish kiddo
Back from town and my Mac crashed on me  but it`s better now,neutral,back town mac crashed better
ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?,neutral,archie andrews thinking veronica
the best things in life are free  x,positive,best things life free x
misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,positive,misses mom today best friend even though gone several yrs still miss dearly happy mothers day
I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,negative,watching blood veoh episode love musicwishing could watch live action old enough
 that is a bummer,negative,bummer
 He is the truth! But what about Maxwell? You can`t forget the future father of my children!,neutral,truth maxwell cant forget future father children
http://twitpic.com/665jw The racoons ate our bread!,negative,racoons ate bread
Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,positive,sure let moms know fabulous think almost mothers day
"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",neutral,inastory glad im one hes baby im terrified hell think never coming back
No launch today. Teacher changed plans and we watched a stupid move about tesla,negative,launch today teacher changed plans watched stupid move tesla
  it`s very pleasant. i sooo rarely just have time to kill...,positive,pleasant sooo rarely time kill
 thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,positive,thank ooh see youve read desert islands great book
__O lol but tiz a good song,positive,lol tiz good song
Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going,neutral,working internet shop dont think achieve goal uploading previously set time keep going
"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",negative,anix bought cheesecake ice cream last week thinking good sucked much im taking
 what causes the frustration buddy?,neutral,causes frustration buddy
_Wright THANK YOU! 'Return of the Mack' is THE jam!,positive,wright thank return mack jam
Ready for this saddenning depressing dullful upsetting dreadful weekend.,negative,ready saddenning depressing dullful upsetting dreadful weekend
sorry for my lack of tweets  ive been buzy. new vid this saturday!!,negative,sorry lack tweets ive buzy new vid saturday
" I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",positive,humble best going works paintball day soon fuel strips doubt
going to bed  cant take thiss any longeerr maan. [U],negative,going bed cant take thiss longeerr maan u
_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,positive,morden richards ill see youwe get back good luck
 Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done,neutral,thanksi really appreciate know hardest thing ever done
Spent the last hour signing yearbooks. I`ll miss you guys!,negative,spent last hour signing yearbooks ill miss guys
And I just love every little thing about you...,positive,love every little thing
My mobile has stopped recieving text messages AGAIN. Stoooopid thing,negative,mobile stopped recieving text messages stoooopid thing
" Hi Simon, let me know when it`s done",neutral,hi simon let know done
Had an amazing night with my favorite lady friend,positive,amazing night favorite lady friend
_Oyler Poor little woman with her smushed in head,negative,oyler poor little woman smushed head
is fixin to clean the house for my mom for mother`s day,positive,fixin clean house mom mothers day
"Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!",neutral,think people say save drama fo yo mama im sure even yo mama wouldnt wan na listen ur drama ode mothers day
 Hey! That`s my school! I hate that place.,negative,hey thats school hate place
 i did i only got 3 stars on the pre wash then failed the rince,negative,got stars pre wash failed rince
MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,positive,sister law left prom looked soo pretty tears around
 follow me too,neutral,follow
bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?,neutral,bought three books yipee whos readtenbooksduringthesummer thing
I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,negative,im really bored brother went get permit stay roads jk lol feels like friends abandoned except
", goodnight",positive,goodnight
"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",negative,themoon hiya hun day dentist appointment ouchnotebook feeling sick hows
" but i do emily ahahha you scare me, so it would work",negative,emily ahahha scare would work
Now I need to change my monitor,neutral,need change monitor
" I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much",neutral,know dude im reruns making jenny watch conversations lol havent online much
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,neutral,vote every day
should not have waled past the Quad! I want to be outside having fun.,positive,waled past quad want outside fun
"just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL",neutral,rocked home maccas signing petition big bang tour aus lol
i think the food i ate made me sick.. i no feel so good,negative,think food ate made sick feel good
 eagerly anticipating twitpics,neutral,eagerly anticipating twitpics
"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",positive,lots tasks complete today first wecloming new members canadamigos social networking site coffee
Just wants to stay in bed all day but has to go to work instead  sux,negative,wants stay bed day go work instead sux
chillen trying to figure this thing out gettin drunk,positive,chillen trying figure thing gettin drunk
yay doctors  now interview then back 2 the doctor`s for blood work,neutral,yay doctors interview back doctors blood work
Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,positive,filming carnival music video reminds cherry festival used go back home ahhh memories
I`m siiiiiickkk  I dun feel good!!,negative,im siiiiiickkk dun feel good
 Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,positive,propellerheads harddrive long got music repo back shape felt nostalgic
Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,positive,glorious sunny day london town im drama school fighting people swords protecting romantically structured face
_89 I feel so sorry for her  hope she dnt cry 2nd time,negative,feel sorry hope dnt cry nd time
would wish the severe migrains would stop!!! doc`s prescriptions arent working,negative,would wish severe migrains would stop docs prescriptions arent working
"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",positive,full moon lovely friends family bday wish came true additiongray matters one cutest movies ever
My Life Would Suck Without You - Kelly Clarkson,negative,life would suck without kelly clarkson
revising for exams,neutral,revising exams
" you should so host the next logies, i only laughed at your bit really",positive,host next logies laughed bit really
 Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.,neutral,hi jordan im gon na ui know ur busy know ur probably tired please reschedule nc dont leave us
__joy i feel like red lea now,positive,joy feel like red lea
 I`d love to but I think the trek from London would be a bit too much,neutral,id love think trek london would bit much
 hey hey,neutral,hey hey
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,negative,thinks revising garden morning without sunscreen isnt best idea ive oucccccccch
Is miserable  i feel like im gona cry  sux!,negative,miserable feel like im gona cry sux
 i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,positive,know deliciousmiss germany like holland well used shoppin weekendslol
" LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",positive,lol true maybe next year loooved siggy dont remember password mod thing cake
" lol, get watching it again  hehe",neutral,lol get watching hehe
 Hope you did great - you certainly spent enough time studying.,positive,hope great certainly spent enough time studying
 btw - downloaded iphone 3.0 sdk,neutral,btw downloaded iphone sdk
Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,negative,straighening hair going straight want bummerrr
" I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",negative,need botox work lips im going change name angelina jolie thought sad though racism
" me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him",neutral,doctor laughs oh cranes patient arkham aslyum work
Morning all! Have a GREAT DAY! Off to school I go,positive,morning great day school go
"now, in a weird mood  muahaz",negative,weird mood muahaz
 congrats! Photo of dre?,positive,congrats photo dre
"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",positive,sanctuarysunday thanks joining sanctuarysunday follow sanctuary people keep date tweets
"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",positive,done disneyland kids knocked stopped hotel bar grabbed grey goose tonic way uppeace
 ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,neutral,ok lol miss hope cramps get better know painful
" Oh, and a very good review",positive,oh good review
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,negative,mileycyrus wont let twitter keeps saying twitter capacity something bird keeps coming
I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,negative,im extremely hungry thing house soup dont like soup pouts
 its hilarious,positive,hilarious
 I love the guy that was standing behind me,positive,love guy standing behind
Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,positive,bout hit sackgot tomorrow happy mothers day mom
lost my DC hat ..,negative,lost dc hat
starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,neutral,starting video editing first spanking movie mina added next update
"   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )",neutral,effect podcast audio version book plus added charm banter
"Sunny synday morning. Nicole is up later than usual, mommy got some sleep",neutral,sunny synday morning nicole later usual mommy got sleep
Browsing  find everything about university & interior design.,neutral,browsing find everything university interior design
I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!,neutral,tweeted sixteen days miss ive fun though ingrid mon frakking awesome bbq today
